day_num,raw_count,notes
1,5754,
2,9358,
3,13083,
4,12512,
5,10443,
6,6059,
7,14586,
8,13173,
9,7795,
10,7200,
11,10201,
12,15452,
13,3494,
14,10813,
15,8206,
16,13998,
17,8164,
18,6020,
19,15484,
20,4521,
21,10668,
22,13897,
23,5623,
24,7664,
25,5819,
26,4069,
27,2648,
28,11437,
29,12533,
30,5881,
31,2833,
32,2529,
33,2321,
34,5443,
35,11908,
36,10368,
37,14349,
38,12228,
39,11054,
40,12713,
41,4254,
42,3161,
43,10018,
44,3953,
45,13907,
46,11118,
47,2465,
48,3457,
49,11808,
50,12343,
51,10465,
52,13719,
53,12895,
54,11194,
55,10903,
56,20261,
57,12587,
58,15272,
59,7252,
60,12868,
61,18837,
62,13230,
63,11865,
64,11458,
65,13827,
66,13020,
67,7481,
68,15781,
69,10379,
70,10253,
71,13127,
72,13477,
73,10443,
74,11734,
75,12564,
76,8899,
77,11861,
78,11725,
79,13892,
80,8112,
81,12910,
82,18007,
83,10818,
84,13116,
85,14634,
86,15032,
87,2594,
88,1626,
89,8928,
90,14755,
91,14023,
92,11731,
93,13109,
94,10620,
95,13160,
96,6049,
97,6122,
98,7804,
99,6713,
100,7621,
101,13313,
102,9267,
103,8324,
104,7806,
105,11849,
106,10709,
107,12584,
108,5073,
109,9436,
110,11362,
111,5128,
112,16017,
113,11481,
114,12571,
115,7835,
116,9221,
117,7571,
118,11274,
119,6285,
120,6407,
121,7542,
122,11207,
123,6813,
124,6568,
125,10112,
126,12579,
127,10073,
128,13729,
129,13105,
130,18764,
131,10910,
132,5077,
133,10579,
134,13532,
135,13260,
136,10160,
137,14090,
138,16967,
139,7913,
140,11229,
141,16238,
142,7627,
143,17390,
144,619,
145,2457,
146,2133,
147,8457,
148,21365,
149,10206,
150,11586,
151,1771,
152,2470,
153,6459,
154,10087,
155,10601,
156,11238,
157,8247,
158,8820,
159,18886,
160,11637,
161,12798,
162,15843,
163,10957,
164,17914,
